Year,Name,Age,Salary%,PER,USG%,Predicted Salary%,Residuals
2015,Anthony Davis,21.0,11.211813208594306,30.8,27.8,33.11820835230001,-21.9063951437057
2011,Kevin Love,22.0,7.941735579904899,24.3,22.9,28.753558372122214,-20.811822792217313
2010,Kevin Durant,21.0,10.49161698440208,26.2,32.0,31.020550387506418,-20.52893340310434
2010,Troy Murphy,29.0,0.3745407279029463,18.0,18.8,18.402444056746397,-18.02790332884345
2015,Ty Lawson,27.0,0.33575517323396503,18.5,20.6,18.201426270308936,-17.86567109707497
2014,Anthony Davis,20.0,9.555786567596584,26.5,25.2,27.07427658723912,-17.518490019642535
2011,Blake Griffin,21.0,9.873682034318794,21.9,27.3,27.220844355641525,-17.34716232132273
2010,Brook Lopez,21.0,4.182530329289428,20.1,23.6,21.171528160482794,-16.988997831193366
2015,Kevin Martin,31.0,0.31808451597558074,16.7,26.6,16.886172058649052,-16.56808754267347
2015,Pau Gasol,34.0,11.811242368984379,22.7,24.7,27.799622208205832,-15.988379839221453
2014,Andre Drummond,20.0,4.3769662059680625,22.6,16.7,19.692944564118406,-15.315978358150343
2015,Joe Johnson,33.0,0.4152763022278601,14.1,20.3,15.706540124195785,-15.291263821967924
2015,Andre Drummond,21.0,5.188442083564576,21.4,22.0,20.355815568017917,-15.167373484453341
2013,Nikola Vucevic,22.0,3.0899317758941494,17.8,19.3,18.02703498788928,-14.937103211995131
2015,Damian Lillard,24.0,6.717334496154763,20.7,26.9,21.64463126729178,-14.927296771137016
2011,Derrick Rose,22.0,12.048976638412237,23.5,32.2,26.859044017097744,-14.810067378685508
2013,Chandler Parsons,24.0,1.596202880573358,15.3,18.3,16.20255183150759,-14.606348950934233
2014,Damian Lillard,23.0,5.693553059868096,18.6,25.0,20.17794590347453,-14.484392843606434
2016,Giannis Antetokounmpo,21.0,4.279172857142857,18.8,22.3,18.690649146394982,-14.411476289252125
2014,Josh Smith,28.0,3.539596789311338,14.1,24.5,17.936657195196624,-14.397060405885286
2011,Stephen Jackson,32.0,1.8257701054372544,14.6,27.4,16.175141360808,-14.349371255370745
2011,Brook Lopez,22.0,5.301121562952243,19.3,27.3,19.547427694137333,-14.24630613118509
2014,Kemba Walker,23.0,5.5762555599107015,16.8,25.8,19.460088898494718,-13.883833338584015
2015,Tony Wroten,21.0,0.26544993260921274,14.9,30.5,14.063279198949468,-13.797829266340255
2015,Rudy Gobert,22.0,1.8645524458891618,21.6,14.0,15.577368585154405,-13.712816139265243
