Year,Name,Age,Salary%,PER,USG%,Predicted Salary%,Resid %
2012,Tyrus Thomas,25.0,13.782647646612912,9.0,19.0,3.2849608412187163,116.64096450437997
2011,Mehmet Okur,31.0,18.76162910895183,12.6,21.2,4.051614790828634,116.74614538193008
2016,Iman Shumpert,25.0,13.804174285714286,8.4,13.2,3.917440914956423,117.69920679473648
2012,Kobe Bryant,33.0,52.46675797670733,21.9,35.7,26.577883563872994,118.21403841476864
2016,Timofey Mozgov,29.0,22.857142857142854,14.6,16.1,5.51555644112029,118.77798915083949
2014,Gerald Wallace,31.0,17.22226861398456,10.0,11.6,4.339658661411582,128.82609952572977
2013,Kendrick Perkins,28.0,15.035898628626564,8.2,10.6,4.2582043460459165,131.43529612903222
2011,Avery Bradley,20.0,2.6264213355385566,2.2,26.1,-0.4757389360932838,141.00728507417455
2016,Wesley Matthews,29.0,24.494054285714288,10.9,17.2,9.091703889922536,141.30596693386929
2010,Nick Collison,29.0,22.99826689774697,13.1,12.1,3.795290270870775,146.5876078387496
2013,Joe Johnson,31.0,36.983526290400384,14.1,21.7,15.63943911824468,151.3765047670617
2014,Joe Johnson,32.0,39.504405323880775,15.5,22.3,14.925493882175827,158.57362220454806
2010,Rashard Lewis,30.0,33.92324263431543,14.0,19.4,11.122825118428215,162.86012511348008
2016,Allen Crabbe,23.0,26.42857142857143,12.2,16.4,6.2182932901461365,165.6580175280762
2013,Richard Jefferson,32.0,19.03039073806078,10.3,14.4,1.8237234542048992,167.05502217335803
2014,Sergey Karasev,20.0,2.6139504763203187,2.3,14.4,-1.2567974349995266,168.29338744868897
2015,Paul George,24.0,27.146762863712038,13.0,32.8,4.947363135637712,170.76461329287943
2010,Michael Redd,30.0,31.7157712305026,12.1,23.7,10.763915924788874,173.15582897284077
2011,Luke Walton,30.0,10.287649024877679,5.1,14.3,0.8903896764141159,184.25998722477573
2014,Derrick Rose,25.0,32.14587160653726,9.7,31.5,12.581875501423681,201.6906814960163
2010,DeShawn Stevenson,28.0,7.195469670710572,3.266666666666667,11.0,0.006951582651466115,220.0566761650746
2011,Rashard Lewis,31.0,36.41484218868445,11.933333333333332,17.666666666666668,9.491311169414999,225.6161817257217
2011,Luke Babbitt,21.0,3.2600785610915866,1.0,22.8,0.7511148809978094,250.8963680093777
2015,Brandon Rush,29.0,2.0153238721953537,0.8,11.2,-0.02703268365958233,255.294569481867
2014,Kobe Bryant,35.0,40.04839891613696,10.7,28.7,8.19496711288321,297.69562432947424
2015,Joe Johnson,33.0,0.4152763022278601,14.1,20.3,15.706540124195785,-108.44867958842501
2010,Rasual Butler,30.0,0.3658301559792028,10.7,17.0,11.364953018665767,-102.79554077277163
2014,Josh Smith,28.0,3.539596789311338,14.1,24.5,17.936657195196627,-102.10681138925736
2010,Troy Murphy,29.0,0.3745407279029463,18.0,18.8,18.4024440567464,-100.15501849357472
2015,Kevin Martin,31.0,0.31808451597558074,16.7,26.6,16.886172058649052,-99.21010504594892
2011,Stephen Jackson,32.0,1.8257701054372544,14.6,27.4,16.175141360808002,-98.28336476281332
2015,Ty Lawson,27.0,0.33575517323396503,18.5,20.6,18.201426270308932,-96.57119511932414
2013,Chandler Parsons,24.0,1.5962028805733581,15.3,18.3,16.20255183150759,-95.46633301264204
2016,Jarrett Jack,32.0,0.08238857142857142,14.5,21.7,13.698980076256225,-93.90752761950104
2015,Tony Wroten,21.0,0.26544993260921274,14.9,30.5,14.063279198949466,-92.60288098214936
2010,Peja Stojakovic,32.0,0.6968197573656846,12.4,18.6,11.599928908906625,-87.92829960920113
2011,Kevin Love,22.0,7.941735579904899,24.3,22.9,28.75355837212221,-85.64536128484491
2016,Deron Williams,31.0,0.37075142857142857,14.6,22.0,12.872155143381526,-85.62605284116505
2010,Brook Lopez,21.0,4.182530329289428,20.1,23.6,21.171528160482797,-84.52237726961873
2011,Boris Diaw,28.0,0.41547446764523466,13.9,16.8,12.133628730416653,-84.3032680774922
2013,Nikola Vucevic,22.0,3.0899317758941494,17.8,19.3,18.02703498788928,-83.91631017974792
2010,Aaron Brooks,25.0,3.495133448873484,16.0,25.7,16.83260795796009,-83.3592156817913
2016,Emmanuel Mudiay,19.0,4.631142857142859,9.9,25.7,12.845678150705142,-82.9751039753766
2014,Kemba Walker,23.0,5.5762555599107015,16.8,25.8,19.460088898494718,-82.64186511061915
2015,Andrea Bargnani,29.0,2.161098866249108,16.6,26.4,15.520240529809687,-80.47675700940107
2013,Byron Mullens,23.0,1.6330835228447385,12.3,21.7,11.386394952155195,-79.2952148724427
2011,Blake Griffin,21.0,9.873682034318794,21.9,27.3,27.22084435564152,-79.21078685535494
2016,Norris Cole,27.0,0.3542728571428571,10.8,21.7,8.882009060399643,-78.96052040052578
2010,Kevin Durant,21.0,10.49161698440208,26.2,32.0,31.020550387506415,-78.35470764543642
2014,Damian Lillard,23.0,5.693553059868096,18.6,25.0,20.17794590347453,-77.87307980433566
